batch,epoch,step,train_loss,val_loss
0.0,0.0,249,486.99737548828125,
300.0,0.0,499,36.65597915649414,
600.0,0.0,749,22.07083511352539,
900.0,0.0,999,193.23097229003906,
1200.0,0.0,1249,141.79336547851562,
1200.0,0.0,1499,141.79336547851562,
1500.0,0.0,1749,22.186479568481445,
1800.0,0.0,1999,5.705985069274902,
2100.0,0.0,2249,9.794761657714844,
2400.0,0.0,2499,9.770681381225586,
2700.0,0.0,2749,10.431608200073242,
2700.0,0.0,2999,10.431608200073242,
3000.0,0.0,3249,14.507741928100586,
3300.0,0.0,3499,12.707660675048828,
3600.0,0.0,3749,11.350264549255371,
3900.0,0.0,3999,8.27173137664795,
4200.0,0.0,4249,9.154969215393066,
4200.0,0.0,4499,9.154969215393066,
4500.0,0.0,4749,9.323192596435547,
4800.0,0.0,4999,32.64888381958008,
5100.0,0.0,5249,10.17969799041748,
5400.0,0.0,5499,10.466076850891113,
5700.0,0.0,5749,6.506982326507568,
5700.0,0.0,5999,6.506982326507568,
6000.0,0.0,6249,6.66241455078125,
6300.0,0.0,6499,11.814128875732422,
6600.0,0.0,6749,10.954468727111816,
6900.0,0.0,6999,5.925376892089844,
7200.0,0.0,7249,8.37191104888916,
7200.0,0.0,7499,8.37191104888916,
7500.0,0.0,7749,9.266180038452148,
7800.0,0.0,7999,7.428840160369873,
8100.0,0.0,8249,6.248205661773682,
8400.0,0.0,8499,7.94460391998291,
8700.0,0.0,8749,2.7767691612243652,
8700.0,0.0,8999,2.7767691612243652,
9000.0,0.0,9249,7.337289333343506,
9300.0,0.0,9499,10.577948570251465,
9600.0,0.0,9749,11.697456359863281,
9900.0,0.0,9999,5.565706253051758,
10200.0,0.0,10249,7.2988739013671875,
10200.0,0.0,10499,7.2988739013671875,
10500.0,0.0,10749,9.978570938110352,
10800.0,0.0,10999,3.778132677078247,
11100.0,0.0,11249,8.014355659484863,
11400.0,0.0,11499,7.044649124145508,
11700.0,0.0,11749,4.4291276931762695,
11700.0,0.0,11999,4.4291276931762695,
12000.0,0.0,12249,16.770553588867188,
12300.0,0.0,12499,4.014164924621582,
12600.0,0.0,12749,11.232267379760742,
12900.0,0.0,12999,12.999439239501953,
13200.0,0.0,13249,3.8288888931274414,
13200.0,0.0,13499,3.8288888931274414,
13500.0,0.0,13749,6.292084693908691,
