batch,epoch,step,train_loss,val_loss
,0,124,,39.00782775878906
0.0,0.0,249,33.53847885131836,
,0,249,,40.983455657958984
,1,374,,32.95509719848633
0.0,1.0,499,43.3372917175293,
,1,499,,30.7822265625
,2,624,,36.4435920715332
0.0,2.0,749,31.750396728515625,
,2,749,,31.385326385498047
,3,874,,36.73507308959961
0.0,3.0,999,29.834911346435547,
,3,999,,32.56806182861328
,4,1124,,33.46731948852539
0.0,4.0,1249,22.078245162963867,
,4,1249,,34.56394958496094
,5,1374,,33.22944641113281
0.0,5.0,1499,34.7542610168457,
,5,1499,,28.941251754760742
,6,1624,,30.095947265625
0.0,6.0,1749,30.7006893157959,
,6,1749,,36.481727600097656
,7,1874,,34.829261779785156
0.0,7.0,1999,30.548412322998047,
,7,1999,,33.245216369628906
,8,2124,,29.364315032958984
0.0,8.0,2249,32.0142707824707,
,8,2249,,33.33183670043945
,9,2374,,28.681562423706055
0.0,9.0,2499,22.834192276000977,
,9,2499,,33.49658966064453
,10,2624,,30.203353881835938
0.0,10.0,2749,29.78014373779297,
,10,2749,,31.44758415222168
,11,2874,,29.325927734375
0.0,11.0,2999,29.461294174194336,
,11,2999,,31.686674118041992
,12,3124,,28.013391494750977
0.0,12.0,3249,28.784984588623047,
,12,3249,,24.97854232788086
,13,3374,,28.14229965209961
0.0,13.0,3499,25.022628784179688,
,13,3499,,22.48938751220703
,14,3624,,20.047618865966797
0.0,14.0,3749,21.85370445251465,
,14,3749,,23.92742156982422
,15,3874,,19.71614646911621
0.0,15.0,3999,21.71662139892578,
,15,3999,,21.973434448242188
,16,4124,,18.316015243530273
0.0,16.0,4249,25.84129524230957,
,16,4249,,16.44813346862793
,17,4374,,20.822629928588867
0.0,17.0,4499,19.269655227661133,
,17,4499,,16.531190872192383
,18,4624,,16.092418670654297
0.0,18.0,4749,17.85508918762207,
,18,4749,,17.215187072753906
,19,4874,,20.033418655395508
0.0,19.0,4999,20.100412368774414,
,19,4999,,15.914374351501465
,20,5124,,18.0855712890625
0.0,20.0,5249,12.910938262939453,
,20,5249,,13.652979850769043
,21,5374,,26.373380661010742
0.0,21.0,5499,17.84204864501953,
,21,5499,,19.835325241088867
,22,5624,,23.981521606445312
0.0,22.0,5749,20.51243782043457,
,22,5749,,24.83075714111328
,23,5874,,20.273120880126953
0.0,23.0,5999,14.619303703308105,
,23,5999,,24.434974670410156
,24,6124,,16.48984146118164
0.0,24.0,6249,20.56645965576172,
,24,6249,,23.53404426574707
,25,6374,,26.507234573364258
0.0,25.0,6499,18.926406860351562,
,25,6499,,25.594911575317383
,26,6624,,19.772274017333984
0.0,26.0,6749,27.746644973754883,
,26,6749,,18.295021057128906
,27,6874,,22.35512351989746
0.0,27.0,6999,22.693336486816406,
,27,6999,,19.70185661315918
,28,7124,,18.283021926879883
0.0,28.0,7249,17.961103439331055,
,28,7249,,25.30684471130371
,29,7374,,17.12993621826172
0.0,29.0,7499,16.766862869262695,
,29,7499,,23.382036209106445
,30,7624,,13.07234001159668
0.0,30.0,7749,19.79656219482422,
,30,7749,,19.51482391357422
,31,7874,,17.141794204711914
0.0,31.0,7999,22.286954879760742,
,31,7999,,21.37003517150879
,32,8124,,18.66080093383789
0.0,32.0,8249,18.899354934692383,
,32,8249,,16.032976150512695
,33,8374,,24.098955154418945
0.0,33.0,8499,17.516998291015625,
,33,8499,,21.182544708251953
,34,8624,,18.891342163085938
0.0,34.0,8749,16.679712295532227,
,34,8749,,20.026100158691406
,35,8874,,16.01378631591797
0.0,35.0,8999,18.696184158325195,
,35,8999,,19.20503044128418
,36,9124,,17.52235984802246
0.0,36.0,9249,23.548707962036133,
,36,9249,,16.00387191772461
,37,9374,,18.956785202026367
0.0,37.0,9499,16.54029655456543,
,37,9499,,17.792762756347656
,38,9624,,22.272560119628906
0.0,38.0,9749,17.239032745361328,
,38,9749,,12.761479377746582
,39,9874,,20.396135330200195
0.0,39.0,9999,19.932218551635742,
,39,9999,,10.835548400878906
,40,10124,,25.98784637451172
0.0,40.0,10249,12.597811698913574,
,40,10249,,24.346736907958984
,41,10374,,17.290821075439453
0.0,41.0,10499,30.154298782348633,
,41,10499,,24.102197647094727
,42,10624,,19.373302459716797
0.0,42.0,10749,20.94788932800293,
,42,10749,,11.719956398010254
,43,10874,,17.521629333496094
0.0,43.0,10999,22.163618087768555,
,43,10999,,15.699440956115723
,44,11124,,20.26921844482422
0.0,44.0,11249,27.201068878173828,
,44,11249,,18.507020950317383
,45,11374,,17.223485946655273
0.0,45.0,11499,15.118592262268066,
,45,11499,,23.162065505981445
,46,11624,,24.74371337890625
0.0,46.0,11749,23.194507598876953,
,46,11749,,6.843954563140869
,47,11874,,9.716510772705078
0.0,47.0,11999,17.704442977905273,
,47,11999,,17.986658096313477
,48,12124,,8.407317161560059
0.0,48.0,12249,17.22946548461914,
,48,12249,,17.398761749267578
,49,12374,,18.70859718322754
0.0,49.0,12499,6.282651424407959,
,49,12499,,10.853118896484375
,50,12624,,6.370939254760742
0.0,50.0,12749,8.131927490234375,
,50,12749,,5.977966785430908
,51,12874,,17.057382583618164
0.0,51.0,12999,7.079518795013428,
,51,12999,,8.569412231445312
,52,13124,,6.372827529907227
0.0,52.0,13249,12.590895652770996,
,52,13249,,15.648337364196777
,53,13374,,7.430212497711182
0.0,53.0,13499,6.471043109893799,
,53,13499,,6.980025291442871
,54,13624,,17.114452362060547
0.0,54.0,13749,8.237970352172852,
,54,13749,,20.556045532226562
,55,13874,,21.01101303100586
0.0,55.0,13999,24.466182708740234,
,55,13999,,17.6586856842041
,56,14124,,16.488880157470703
0.0,56.0,14249,10.54351806640625,
,56,14249,,17.907621383666992
,57,14374,,18.359943389892578
0.0,57.0,14499,27.530967712402344,
,57,14499,,19.658817291259766
,58,14624,,19.95159912109375
0.0,58.0,14749,10.834880828857422,
,58,14749,,9.231917381286621
,59,14874,,19.798046112060547
0.0,59.0,14999,9.03387451171875,
,59,14999,,16.241209030151367
,60,15124,,7.742023944854736
0.0,60.0,15249,7.991869926452637,
,60,15249,,7.432671546936035
,61,15374,,6.606245040893555
0.0,61.0,15499,7.819014549255371,
,61,15499,,16.317907333374023
,62,15624,,16.79366683959961
0.0,62.0,15749,7.81352424621582,
,62,15749,,14.927120208740234
,63,15874,,17.363664627075195
0.0,63.0,15999,7.1808929443359375,
,63,15999,,17.515644073486328
,64,16124,,17.30398178100586
0.0,64.0,16249,6.202500343322754,
