batch,epoch,step,train_loss,val_loss
,31,10079,,18.061063766479492
,31,10239,,19.43556022644043
0.0,32.0,10249,19.536258697509766,
,32,10399,,20.423995971679688
0.0,32.0,10499,19.536258697509766,
,32,10559,,15.967987060546875
,33,10719,,16.69368553161621
0.0,33.0,10749,13.763361930847168,
,33,10879,,17.185394287109375
0.0,34.0,10999,18.360719680786133,
,34,11039,,21.183164596557617
,34,11199,,18.48897361755371
0.0,35.0,11249,16.852359771728516,
,35,11359,,16.986324310302734
0.0,35.0,11499,16.852359771728516,
,35,11519,,16.67564582824707
,36,11679,,15.314945220947266
0.0,36.0,11749,13.517168998718262,
,36,11839,,16.083898544311523
0.0,37.0,11999,20.062538146972656,
,37,11999,,14.124852180480957
,37,12159,,14.03442096710205
0.0,38.0,12249,9.902560234069824,
,38,12319,,13.996898651123047
,38,12479,,10.060775756835938
0.0,39.0,12499,26.185447692871094,
,39,12639,,10.169377326965332
0.0,39.0,12749,26.185447692871094,
,39,12799,,10.27588176727295
,40,12959,,8.789973258972168
0.0,40.0,12999,7.870218276977539,
,40,13119,,10.9246826171875
0.0,41.0,13249,7.762331962585449,
,41,13279,,15.98421573638916
,41,13439,,12.124212265014648
0.0,42.0,13499,10.836077690124512,
,42,13599,,11.761091232299805
0.0,42.0,13749,10.836077690124512,
,42,13759,,11.099363327026367
,43,13919,,16.815269470214844
0.0,43.0,13999,4.477738857269287,
,43,14079,,12.733469009399414
,44,14239,,11.82695484161377
0.0,44.0,14249,9.19650650024414,
,44,14399,,12.056803703308105
0.0,45.0,14499,6.034575939178467,
,45,14559,,10.223499298095703
,45,14719,,16.565027236938477
0.0,46.0,14749,9.912995338439941,
,46,14879,,13.493337631225586
0.0,46.0,14999,9.912995338439941,
,46,15039,,16.347869873046875
,47,15199,,14.360346794128418
0.0,47.0,15249,11.146821975708008,
,47,15359,,11.757613182067871
0.0,48.0,15499,13.140170097351074,
,48,15519,,17.032514572143555
,48,15679,,15.197244644165039
0.0,49.0,15749,17.051673889160156,
,49,15839,,12.159122467041016
0.0,49.0,15999,17.051673889160156,
,49,15999,,17.541297912597656
,50,16159,,15.975306510925293
0.0,50.0,16249,17.915624618530273,
,50,16319,,17.401208877563477
,51,16479,,16.3547306060791
0.0,51.0,16499,16.167598724365234,
,51,16639,,17.285301208496094
0.0,52.0,16749,10.661975860595703,
,52,16799,,23.743452072143555
,52,16959,,20.210493087768555
0.0,53.0,16999,13.548168182373047,
,53,17119,,20.19207191467285
0.0,53.0,17249,13.548168182373047,
,53,17279,,24.58351707458496
,54,17439,,22.191362380981445
0.0,54.0,17499,18.953224182128906,
,54,17599,,28.140581130981445
0.0,55.0,17749,16.664220809936523,
,55,17759,,24.76535415649414
,55,17919,,25.044641494750977
0.0,56.0,17999,19.729887008666992,
,56,18079,,29.372621536254883
,56,18239,,24.527307510375977
0.0,57.0,18249,14.636487007141113,
,57,18399,,19.272239685058594
0.0,57.0,18499,14.636487007141113,
,57,18559,,12.704176902770996
,58,18719,,9.380836486816406
0.0,58.0,18749,8.771024703979492,
,58,18879,,9.49749755859375
0.0,59.0,18999,11.293624877929688,
,59,19039,,14.457663536071777
,59,19199,,11.451741218566895
0.0,60.0,19249,11.934330940246582,
,60,19359,,13.46932601928711
0.0,60.0,19499,11.934330940246582,
,60,19519,,13.206583023071289
,61,19679,,13.192995071411133
0.0,61.0,19749,11.513542175292969,
,61,19839,,12.606714248657227
0.0,62.0,19999,14.828463554382324,
,62,19999,,9.827853202819824
,62,20159,,8.52136516571045
0.0,63.0,20249,11.896292686462402,
,63,20319,,7.656572341918945
,63,20479,,8.264848709106445
0.0,64.0,20499,8.90615177154541,
,64,20639,,11.082864761352539
0.0,64.0,20749,8.90615177154541,
,64,20799,,13.425125122070312
,65,20959,,12.96103572845459
0.0,65.0,20999,10.579859733581543,
,65,21119,,13.957939147949219
0.0,66.0,21249,13.767470359802246,
,66,21279,,16.74751091003418
,66,21439,,15.057722091674805
0.0,67.0,21499,11.808877944946289,
,67,21599,,16.47396469116211
0.0,67.0,21749,11.808877944946289,
,67,21759,,17.375215530395508
,68,21919,,11.528703689575195
0.0,68.0,21999,23.25695037841797,
,68,22079,,10.787439346313477
,69,22239,,10.836043357849121
0.0,69.0,22249,35.51160430908203,
,69,22399,,11.527693748474121
0.0,70.0,22499,16.47964859008789,
,70,22559,,14.801172256469727
,70,22719,,13.105128288269043
0.0,71.0,22749,15.49758529663086,
,71,22879,,15.876516342163086
0.0,71.0,22999,15.49758529663086,
,71,23039,,32.36380386352539
,72,23199,,23.71942901611328
0.0,72.0,23249,17.450050354003906,
,72,23359,,24.83367347717285
0.0,73.0,23499,22.02764320373535,
,73,23519,,25.255149841308594
